City_ID,City,Country,Lat,Lng,Max Temp,Cloudiness,Wind Speed,Current Description
113,Dekar,BW,-21.5333,21.9333,54.99,25,6.17,scattered clouds
114,Northam,GB,51.0333,-4.2167,56.3,17,5.79,few clouds
115,Kodiak,US,57.79,-152.4072,49.51,90,12.66,overcast clouds
116,Massakory,TD,12.996,15.7293,89.94,43,5.44,scattered clouds
117,Maua,BR,-23.6678,-46.4614,63.19,100,6.11,overcast clouds
118,Cayenne,GF,4.9333,-52.3333,80.1,75,6.55,broken clouds
119,Mezen,RU,65.8522,44.24,39.07,99,7.14,overcast clouds
120,Nanortalik,GL,60.1432,-45.2371,36.45,14,17.31,few clouds
121,Sitka,US,57.0531,-135.33,55.29,90,4.61,overcast clouds
122,Ahipara,NZ,-35.1667,173.1667,60.3,63,18.57,broken clouds
123,Mataura,NZ,-46.1927,168.8643,50.0,100,5.01,overcast clouds
124,Egvekinot,RU,66.3167,-179.1667,46.72,18,4.47,few clouds
125,Syamzha,RU,60.0158,41.0614,30.94,0,2.06,clear sky
126,Te Anau,NZ,-45.4167,167.7167,47.39,100,5.73,overcast clouds
127,Nikolskoye,RU,59.7035,30.7861,39.09,84,2.57,broken clouds
128,Beringovskiy,RU,63.05,179.3167,39.09,9,13.2,clear sky
129,Kaitangata,NZ,-46.2817,169.8464,50.97,100,7.29,overcast clouds
130,Magadan,RU,59.5667,150.8,35.44,100,4.97,light snow
131,Los Llanos De Aridane,ES,28.6585,-17.9182,69.8,75,16.11,broken clouds
132,Rincon,US,32.296,-81.2354,73.58,75,8.12,broken clouds
133,San Luis,AR,-33.295,-66.3356,50.02,2,3.8,clear sky
134,Chiredzi,ZW,-21.05,31.6667,57.99,44,7.36,scattered clouds
135,Avarua,CK,-21.2078,-159.775,78.85,42,8.05,scattered clouds
136,Portobelo,PA,9.55,-79.65,82.0,100,1.99,overcast clouds
137,Sibolga,ID,1.7427,98.7792,79.09,93,1.52,overcast clouds
138,Puerto Ayora,EC,-0.7393,-90.3518,74.55,13,8.99,few clouds
139,Srednekolymsk,RU,67.45,153.6833,65.75,18,11.18,few clouds
140,Toowoomba,AU,-27.55,151.9667,59.74,0,1.99,clear sky
141,Poum,NC,-20.2333,164.0167,72.32,98,19.51,overcast clouds
142,Sao Filipe,CV,14.8961,-24.4956,72.41,10,8.77,clear sky
143,Dikson,RU,73.5069,80.5464,30.45,100,8.46,snow
144,Anqing,CN,30.5092,117.0506,81.21,100,0.83,overcast clouds
145,Port Elizabeth,ZA,-33.918,25.5701,59.0,0,16.11,clear sky
146,Jutai,BR,-5.1833,-68.9,77.16,100,1.66,overcast clouds
147,Bengkulu,ID,-3.8004,102.2655,77.04,36,3.44,scattered clouds
148,Nelson Bay,AU,-32.7167,152.15,62.78,66,1.01,broken clouds
149,Avallon,FR,47.4833,3.9,50.47,0,6.38,clear sky
150,Korla,CN,41.7597,86.1469,76.77,3,5.21,clear sky
151,Qaqortoq,GL,60.7167,-46.0333,46.9,6,3.89,clear sky
152,Boa Vista,BR,2.8197,-60.6733,77.0,75,1.14,broken clouds
153,Kyshtovka,RU,56.555,76.6271,62.56,79,13.6,broken clouds
154,Ambilobe,MG,-13.2,49.05,68.58,3,3.33,clear sky
155,Colomi,BO,-17.35,-65.8667,55.42,94,5.79,overcast clouds
156,Cockburn Town,TC,21.4612,-71.1419,80.56,40,11.5,scattered clouds
157,Bambous Virieux,MU,-20.3428,57.7575,72.21,40,9.62,light rain
158,Broken Hill,AU,-31.95,141.4333,55.11,100,10.36,overcast clouds
159,Lazaro Cardenas,MX,17.9583,-102.2,83.73,75,4.99,broken clouds
160,La Concordia,NI,13.1953,-86.1667,73.47,15,7.36,few clouds
161,San Angelo,US,31.4638,-100.437,82.4,1,10.36,clear sky
162,Kalmunai,LK,7.4167,81.8167,80.19,100,4.16,overcast clouds
163,Ugoofaaru,MV,5.6667,73.0,83.39,98,19.95,overcast clouds
164,Deder,ET,9.3167,41.45,55.31,10,5.44,clear sky
165,Constitucion,CL,-35.3333,-72.4167,54.46,85,5.32,overcast clouds
166,Aykhal,RU,66.0,111.5,59.95,8,7.05,clear sky
167,Saint Albans,GB,51.75,-0.3333,51.15,0,5.93,clear sky
168,Ndele,CF,8.4109,20.6473,78.55,67,4.34,broken clouds
169,Omboue,GA,-1.5746,9.2618,76.14,100,8.43,overcast clouds
170,Tuktoyaktuk,CA,69.4541,-133.0374,42.8,20,9.22,few clouds
171,Mayo,US,38.8876,-76.5119,54.99,99,5.99,overcast clouds
172,Santa Fe,AR,-31.6333,-60.7,57.0,0,1.99,clear sky
173,Georgetown,MY,5.4112,100.3354,82.33,20,3.44,few clouds
174,Butaritari,KI,3.0707,172.7902,83.01,25,13.02,scattered clouds
175,Thinadhoo,MV,0.5333,72.9333,83.17,66,19.04,broken clouds
176,Saskylakh,RU,71.9167,114.0833,42.1,60,4.25,broken clouds
177,Coos Bay,US,43.3665,-124.2179,69.01,1,16.11,clear sky
178,Pevek,RU,69.7008,170.3133,39.79,17,4.56,few clouds
179,Maryville,US,35.7565,-83.9705,63.73,40,1.01,scattered clouds
180,Ilulissat,GL,69.2167,-51.1,33.8,75,12.66,broken clouds
181,Kangaatsiaq,GL,68.3065,-53.4641,33.08,100,13.33,overcast clouds
182,Yablonovo,RU,50.8523,37.3574,48.06,100,6.33,overcast clouds
183,Codrington,AU,-38.2667,141.9667,53.78,62,14.27,broken clouds
184,Vagur,FO,61.4732,-6.8119,48.69,0,20.87,clear sky
185,Villarrobledo,ES,39.2699,-2.6012,68.77,97,4.0,overcast clouds
186,Worland,US,44.0169,-107.9554,75.67,1,4.61,clear sky
187,Kpandae,GH,8.4689,-0.0113,80.13,100,6.06,overcast clouds
188,Krasnoselkup,RU,65.7,82.4667,43.47,100,7.4,overcast clouds
189,Dingle,PH,10.9995,122.6711,85.42,50,3.4,scattered clouds
190,Kharp,RU,66.8014,65.8081,34.23,36,10.47,scattered clouds
191,Puerto Escondido,MX,15.85,-97.0667,81.43,90,6.91,overcast clouds
192,Saint-Augustin,CA,51.226,-58.6502,50.86,0,12.08,clear sky
193,Lompoc,US,34.6391,-120.4579,79.02,1,14.97,clear sky
194,Ostrovnoy,RU,68.0531,39.5131,41.5,99,14.0,overcast clouds
195,Saint-Georges,GD,12.0564,-61.7485,80.6,20,13.8,few clouds
196,Tatarskaya Pishlya,RU,54.0608,44.8998,43.75,100,13.76,overcast clouds
