City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
248,Dolores,AR,2021-05-25 22:01:11,-36.3132,-57.6792,46.74,66,6,6.67
249,Mandali,IQ,2021-05-25 22:04:00,33.7499,45.5541,82.4,21,94,8.39
250,Galle,LK,2021-05-25 22:04:00,6.0367,80.217,80.87,82,100,21.54
251,Zyryanka,RU,2021-05-25 22:04:00,65.75,150.85,51.22,54,100,7.72
252,Cherskiy,RU,2021-05-25 22:04:01,68.75,161.3,55.29,36,100,7.72
253,Pfarrkirchen,DE,2021-05-25 22:04:01,48.432,12.9381,47.19,91,74,6.17
254,Gimli,CA,2021-05-25 22:02:11,50.6336,-96.9907,47.43,91,100,28.27
255,Kavaratti,IN,2021-05-25 22:04:01,10.5669,72.642,83.16,76,100,16.53
256,Byron Bay,AU,2021-05-25 22:04:01,-28.65,153.6167,64.06,82,2,4.05
257,Caravelas,BR,2021-05-25 22:04:02,-17.7125,-39.2481,74.52,90,45,7.61
258,San Mateo Del Mar,MX,2021-05-25 22:04:02,16.2,-95.0,92.79,52,100,15.03
259,De-Kastri,RU,2021-05-25 22:04:02,51.4667,140.7833,35.92,99,100,7.47
260,Maryborough,AU,2021-05-25 22:04:02,-25.5333,152.7,62.56,89,1,3.09
261,Sosnovo-Ozerskoye,RU,2021-05-25 22:04:03,52.5249,111.5418,36.79,82,79,4.54
262,Mercedes,AR,2021-05-25 22:00:30,-34.6515,-59.4307,56.03,71,0,4.56
263,Souillac,MU,2021-05-25 22:01:25,-20.5167,57.5167,71.98,88,20,8.72
264,Paamiut,GL,2021-05-25 22:04:03,61.994,-49.6678,34.45,72,77,5.61
265,Huilong,CN,2021-05-25 22:04:03,31.8111,121.655,75.04,81,100,9.93
266,Broome,US,2021-05-25 22:04:03,42.2506,-75.833,79.36,68,1,5.01
267,Santa Helena De Goias,BR,2021-05-25 22:04:04,-17.8136,-50.5969,71.82,52,15,5.3
268,Ailigandi,PA,2021-05-25 22:04:04,9.2333,-78.0167,82.33,84,100,7.43
269,Jaciara,BR,2021-05-25 22:00:09,-15.9653,-54.9683,78.33,58,40,0.2
270,Itarema,BR,2021-05-25 22:04:04,-2.9248,-39.9167,78.96,75,41,12.75
271,Camana,PE,2021-05-25 22:04:05,-16.6228,-72.7111,69.49,74,68,5.99
272,Tautira,PF,2021-05-25 22:04:05,-17.7333,-149.15,86.02,74,49,5.73
273,Nanortalik,GL,2021-05-25 22:04:05,60.1432,-45.2371,34.66,71,37,10.2
274,Bengbu,CN,2021-05-25 22:02:27,32.9408,117.3608,63.59,91,100,8.97
275,Koungou,YT,2021-05-25 22:04:05,-12.7336,45.2042,78.51,73,0,9.75
276,Zuhres,UA,2021-05-25 22:04:06,48.0114,38.2644,59.4,83,3,1.63
277,Amahai,ID,2021-05-25 22:04:06,-3.3333,128.9167,78.06,89,61,6.44
278,Osoyoos,CA,2021-05-25 22:00:04,49.0331,-119.4524,72.36,33,92,5.95
279,Praia Da Vitoria,PT,2021-05-25 21:59:39,38.7333,-27.0667,66.45,82,40,17.13
280,Adelaide,AU,2021-05-25 21:59:15,-34.9333,138.6,56.68,66,40,1.99
281,Turukhansk,RU,2021-05-25 22:04:06,65.8167,87.9833,26.87,79,90,17.02
282,Nome,US,2021-05-25 22:04:07,64.5011,-165.4064,69.87,24,1,11.5
283,Clyde River,CA,2021-05-25 22:04:07,70.4692,-68.5914,26.83,93,100,27.63
284,Mogadishu,SO,2021-05-25 22:02:37,2.0371,45.3438,79.0,75,0,17.9
285,Yinchuan,CN,2021-05-25 22:04:07,38.4681,106.2731,68.54,12,34,18.95
286,Guerrero Negro,MX,2021-05-25 22:04:07,27.9769,-114.0611,72.7,50,46,14.18
287,Anadyr,RU,2021-05-25 22:04:08,64.75,177.4833,43.3,70,75,25.99
288,Olafsvik,IS,2021-05-25 22:04:08,64.8945,-23.7142,46.44,79,95,15.64
289,Marawi,PH,2021-05-25 22:04:08,7.9986,124.2928,66.65,87,93,1.41
290,Liaozhong,CN,2021-05-25 22:04:09,41.5061,122.7242,54.09,29,100,13.02
291,Monticello,US,2021-05-25 22:03:28,45.3055,-93.7941,86.18,22,1,18.32
292,Bayan,CN,2021-05-25 22:04:09,46.0833,127.4,52.11,42,52,4.94
293,Odweyne,SO,2021-05-25 22:04:09,9.4092,45.064,74.01,56,13,12.73
294,Grindavik,IS,2021-05-25 22:04:09,63.8424,-22.4338,48.56,76,40,26.78
