City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
213,Guabito,PA,78.69,9.5,-82.6167,broken clouds,Cabinas Sanchez Salazar
216,Terra Santa,BR,77.52,-2.1042,-56.4869,scattered clouds,Hotel Sarah
219,Hambantota,LK,82.4,6.1241,81.1185,scattered clouds,Bungalow 63
223,Changtu,CN,72.37,42.7788,124.0955,few clouds,Ming Yang Inn
224,Kawalu,ID,76.82,-7.3817,108.2082,overcast clouds,KOSAN UNGU UNSIK
226,Bandarbeyla,SO,78.57,9.4942,50.8122,overcast clouds,JABIR HOTEL
229,Fayaoue,NC,72.46,-20.65,166.5333,few clouds,Chez Dydyce Guesthouse
232,Jieshi,CN,79.83,22.8134,115.8257,light rain,Yuehai Hotel
234,Fortuna,US,83.19,40.5982,-124.1573,overcast clouds,Super 8 by Wyndham Fortuna
235,Hargeysa,SO,70.32,9.56,44.065,clear sky,City Center Hotel
236,Vanimo,PG,84.99,-2.6741,141.3028,broken clouds,Vahmoneh Lodge Vanimo
238,Mogadishu,SO,78.22,2.0371,45.3438,few clouds,Hotel Juba
240,Kirakira,SB,81.79,-10.4544,161.9205,broken clouds,SanBiz Lodge
242,Ambon,ID,82.4,-3.6954,128.1814,scattered clouds,Swiss-Belhotel Ambon
244,Praya,CV,72.14,14.9215,-23.5087,clear sky,LT Aparthotel
254,Salalah,OM,82.49,17.0151,54.0924,broken clouds,HAMDAN PLAZA HOTEL SALALAH
258,Fomboni,KM,79.66,-12.28,43.7425,clear sky,Pension Paradis
264,Namatanai,PG,84.11,-3.6667,152.4333,light rain,Namatanai Hotel
267,Jalu,LY,78.93,29.0331,21.5482,clear sky,صاحبة الفخامة
272,Tanabi,BR,70.02,-20.6264,-49.6492,broken clouds,Point Hotel em Tanabi - SP
276,Emba,KZ,70.16,48.8264,58.1442,scattered clouds,
278,Urumqi,CN,70.75,43.801,87.6005,clear sky,Hua Ling Grand Hotel Urumqi
280,Sarh,TD,87.71,9.1429,18.3923,clear sky,Domicile 1sur le goudron
284,Los Lunas,US,72.0,34.8062,-106.7334,broken clouds,Western Skies Inns & Suites
289,Majene,ID,82.85,-3.5403,118.9707,overcast clouds,Kost Putri RABBANI
292,Olds,CA,71.6,51.7834,-114.102,broken clouds,Ramada by Wyndham Olds
